Designator,Mid X,Mid Y,Rotation,Layer
R34,33.5,30.0,270.0,top
R35,48.0,20.25,180.0,top
R36,51.25,20.25,180.0,top
R37,54.5,20.25,180.0,top
R38,57.75,20.25,180.0,top
R39,48.0,25.5,180.0,top
R4,8.25,3.25,180.0,top
R40,61.75,53.0,90.0,top
R41,61.75,55.5,270.0,top
R42,51.25,25.5,180.0,top
R43,54.5,25.5,180.0,top
R44,59.25,40.25,90.0,top
R45,57.75,25.5,180.0,top
R46,48.0,30.75,180.0,top
R47,51.25,30.75,180.0,top
R48,54.5,30.75,180.0,top
R49,57.75,30.75,180.0,top
R5,5.25,5.0,180.0,top
R50,48.0,36.0,180.0,top
R51,51.25,36.0,180.0,top
R52,54.5,36.0,180.0,top
R53,57.75,36.0,180.0,top
R54,69.5,23.0,0.0,top
R55,73.0,23.0,0.0,top
R56,69.5,21.0,0.0,top
R57,73.0,21.0,0.0,top
R58,70.75,28.25,180.0,top
R59,70.75,15.75,180.0,top
R6,13.5,63.75,270.0,top
R60,76.5,26.0,180.0,top
R61,76.5,18.0,180.0,top
R62,77.75,28.25,180.0,top
R63,77.75,15.75,180.0,top
R64,89.5,21.0,180.0,top
R65,86.0,21.0,180.0,top
R66,89.5,23.0,180.0,top
R67,86.0,23.0,180.0,top
R68,88.25,15.75,0.0,top
R69,88.25,28.25,0.0,top
R7,13.5,59.5,90.0,top
R70,82.5,18.0,0.0,top
R71,82.5,26.0,0.0,top
R72,81.25,15.75,0.0,top
R73,81.25,28.25,0.0,top
R74,100.5,23.0,0.0,top
R75,104.0,23.0,0.0,top
R76,100.5,21.0,0.0,top
R77,104.0,21.0,0.0,top
R78,101.75,28.25,180.0,top
R79,101.75,15.75,180.0,top
R8,19.5,40.75,0.0,top
R80,107.5,26.0,180.0,top
R81,107.5,18.0,180.0,top
R82,108.75,28.25,180.0,top
R83,108.75,15.75,180.0,top
R84,120.5,21.0,180.0,top
R85,117.0,21.0,180.0,top
R86,120.5,23.0,180.0,top
R87,117.0,23.0,180.0,top
R88,119.25,15.75,0.0,top
R89,119.25,28.25,0.0,top
R9,26.25,41.25,90.0,top
R90,113.5,18.0,0.0,top
R91,113.5,26.0,0.0,top
R92,112.25,15.75,0.0,top
R93,112.25,28.25,0.0,top
R94,69.5,60.25,0.0,top
R95,73.0,60.25,0.0,top
R96,69.5,58.25,0.0,top
R97,73.0,58.25,0.0,top
R98,70.75,65.5,180.0,top
R99,70.75,53.0,180.0,top
SW1,21.0,53.25,90.0,top
TP1,29.0,24.5,0.0,top
TP2,16.5,35.75,90.0,top
TP3,59.5,7.0,90.0,top
TP4,42.75,39.5,0.0,top
TP5,32.5,26.75,0.0,top
TP8,5.75,42.25,0.0,top
U1,6.5,10.25,180.0,top
U10,54.5,54.25,270.0,top
U11,95.0,33.25,0.0,top
U12,54.0,43.0,270.0,top
U13,79.5,22.0,270.0,top
U14,110.5,22.0,270.0,top
U15,79.5,59.25,270.0,top
U16,110.5,59.25,270.0,top
U2,63.5,60.0,90.0,top
U3,54.5,61.0,0.0,top
U4,10.5,38.75,180.0,top
U5,21.75,58.5,180.0,top
U6,14.0,55.0,270.0,top
U7,34.0,53.75,0.0,top
U8,35.25,35.0,270.0,top
U9,29.0,34.25,180.0,top
